type,smiles
13.419127442061225,Cc1c(c(nc(n1)C)O)CC(=O)NCc2ccc3c(c2)[nH]c(n3)O
13.417318121348831,CC1([C@@H]([C@@H]1C(=O)[O-])C(=O)Nc2ccc(nc2)Oc3ccccc3OC)C
13.416914486740334,CCCn1c(ncn1)[C@H](C)NC(=O)c2cc(c[nH]2)C#N
13.403009318446454,c1cc2c(cc1C(=O)NCc3[nH]nc(n3)c4cnccn4)n[nH]n2
13.391486385783123,CC[C@]1([C@H]2[C@H]([C@@H]([NH2+]1)c3ccccc3O)C(=O)N(C2=O)c4cccc(c4)Cl)C(=O)[O-]
13.387096969337977,CCC[N@H+]1CCCC[C@H]1C(=O)Nc2ccc(nc2)Oc3ccccc3
13.38044930959299,C[N@@H+](Cc1[nH]c(=O)c2c(n1)ccs2)[C@H]3CC(=O)N(C3=O)c4ccc(cc4)F
13.351734092804476,Cc1ccc(o1)c2cc(c(=O)n(n2)[C@@H](C)C(=O)NC3CCCC3)N
13.343317563745774,Cc1ccc(cc1C)NC(=O)CN2C(=O)/C(=C\c3ccc(c(c3)O)O)/SC2=O
13.342427193285848,Cc1c([nH]cn1)C[N@H+]2CCC[C@@H](C2)c3ccnc(n3)C
13.332964204131038,c1cnn(c1)c2ccc(=O)n(n2)CC3CCN(CC3)C(=O)c4ccc5c(c4)[nH]nn5
13.330552509329712,Cc1cc2[nH]c(cc(=O)n2n1)C[N@@H+]3C[C@@H]([C@@H](C3)O)Cc4cnccn4
13.32596039620208,Cc1c[nH]c(c(c1=O)C)C[N@@H+]2CCC[C@H](C2)c3nc[nH]n3
13.321582851363065,Cc1ccc(o1)c2cc(c(=O)n(n2)CC(=O)Nc3cc(ccc3OC)OC)N
13.310423101909564,C[C@H]1CN(CC[N@]1CC(F)(F)F)/C(=[NH+]\CCc2cnc(nc2)C3CC3)/O
13.273261017513342,CCC[C@]1([C@H]2[C@H]([C@@H]([NH2+]1)c3cccc(c3O)OC)C(=O)N(C2=O)c4ccccc4)C(=O)[O-]
13.273135266426165,C[N@@H+](Cc1cc(=O)c2ccccc2[nH]1)[C@@H]3C[C@@H]4CC(=O)NC[C@H]4C3
13.272968624251194,Cc1c(c(ncn1)C)C(=O)N2C[C@H]([C@H](C2)O)Cc3cnccn3
13.27015857111076,Cc1ccc(o1)c2cc(c(=O)n(n2)[C@@H](C)C(=O)NC3CCCCC3)N
13.270133069142032,Cc1ccc(o1)c2cc(c(=O)n(n2)[C@H](C)C(=O)NC(C)(C)C)N
13.268165460347875,Cc1c([nH]cn1)C[N@@H+]2CCOC[C@H](C2)Cc3cc(ncn3)O
13.267390728125465,CCn1c2ccc(cc2oc1=O)NC(=O)Cn3c(=O)c(cc(n3)c4ccco4)N
13.265928761814724,Cc1[nH+]cc(n1C)c2cncc(n2)[C@H]3CCCN(C3)C(=O)c4ccc5c(c4)nc[nH]5
13.264916157780547,C[C@@H]([C@@H]1C[C@H](C1(C)C)C(=O)[O-])NC(=O)NCc2nccc(n2)C(F)F
13.255550339920376,Cc1ncc2c(n1)C[N@@H+](CC2)Cc3[nH]c(=O)c4ccccc4n3
13.254036490293949,c1ccc(cc1)N2C(=O)[C@H]3[C@@H]([NH2+][C@@H]([C@@H]3C2=O)C(=O)[O-])c4cc(ccc4O)Br
13.232514147754271,CC(C)C1=NO[C@@H](C1)C(=O)NCc2ccc3c(c2)[nH]c(n3)O
13.224597984909591,Cc1c(snn1)C(=O)N2CCC[C@@H](C2)c3[nH]c(=O)cc(n3)c4cccs4
13.210034602009042,Cc1c2ccccc2c(nn1)N[C@H]3CCN(C[C@@H]3O)C(=O)c4ccccn4
13.206187322243936,c1cc2c(cc1CNC(=O)[C@H]3C[C@@H](C[NH2+]C3)C(=O)N4CCCC4)[nH]c(=O)[nH]2
13.20038298622346,c1cnc(cn1)[N@]2CCC[C@H](C2)NC(=O)c3cc(c[nH]3)C#N
13.197612505103468,COC(=O)[C@@]1([C@@H]2[C@H]([C@H]([NH2+]1)c3ccc(cc3)O)C(=O)N(C2=O)c4ccc(cc4)F)CCSC
13.197507859093855,C[C@H](c1ccncn1)[N@@H+](C)Cc2cc(=O)c3cc(ccc3[nH]2)F
13.191980087527355,Cc1cccc2c1nc([nH]2)C3CCN(CC3)C(=O)c4c[nH]c(=O)[nH]c4=O
13.185919412752243,c1cc(nc(c1)[N@]2CC[C@@H]3[C@@H](C2)CCC(=O)N3CCc4c[nH]cn4)C#N
13.17976112699338,COc1ccccc1NC(=O)Cn2c(=O)c(cc(n2)c3ccco3)N
13.17369165843595,Cc1cccc2c1cc([nH]2)C(=O)NC[C@@H]3COC[C@H]([C@@H]3O)O
13.16677974553224,Cc1ccc(c(c1)C(=O)CSc2[nH]c(=O)c3c(cc(nc3n2)C)C)C
13.165204779118683,c1ccc(cc1)N2C(=O)[C@H]3[C@@H]([NH2+][C@@H]([C@@H]3C2=O)C(=O)[O-])c4cc(ccc4O)Cl
13.163150551568677,c1cnccc1C[N@@H+]2CC[C@@H]3[C@@H](C2)CCC(=O)N3CCc4c[nH]cn4
13.162107608985496,c1cc(ccc1c2csc(n2)C[NH+]3CCN(CC3)C(=O)c4ccc5c(c4)nc[nH]5)Cl
13.161653410128654,Cc1c(cnn1C)C[NH+]2CCC3(CCC(=O)N(C3)CCc4c[nH]cn4)CC2
13.160812284849724,c1cc(cnc1)[C@H](CNc2ccc(nn2)C(=O)[O-])[NH+]3CCOCC3
13.159010438852306,Cc1cccc(n1)C[N@H+]2CCCC[C@@H]2c3cc(nc(n3)c4ccccn4)O
13.15882049315419,COCCc1ncc(cn1)C[N@H+]2CCC[C@@H](C2)c3[nH]c(=O)cc(n3)c4cccs4
13.158174150153652,Cc1c(c([nH]c1C(=O)NCc2ccccn2)C)C(=O)C
13.154946392353008,C[C@H]1CN([C@H]1c2ccccc2)C(=O)NCCc3cnc(nc3)C4CC4
13.144625569732856,CN1c2c3c(cn(c3ncn2)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C(=[NH+]1)N
13.13375645478504,c1cc(cc(c1)O)C[N@@H+]2CCC[C@H](C2)NC(=O)c3c(nc[nH]3)C(=O)[O-]
13.133673793231228,Cc1c([nH]cn1)C(=O)Nc2ccc(nc2)Oc3ccccc3OC
13.129633489944194,Cc1cccc2c1nc([nH]2)C[N@@H+](C)Cc3cnc(nc3)C(C)C
13.1274917642601,C[C@@H](c1[nH]nc(n1)N)NC(=O)c2cc(c[nH]2)C#N
13.118543211371025,c1cnc(nc1)c2nc(cs2)C[NH2+][C@H]3CCC[N@@](C3)c4ncccn4
13.11756973966817,Cc1c(cnn1C)C(=O)N2CC[C@H](C2)c3[nH]c(=O)cc(n3)c4ccsc4
13.110290686352592,CN1C[C@@]2(CC[N@H+](C2)Cc3cnc4c(cnn4c3)c5ccccc5)OC1=O
13.110024674437405,c1ccc2c(c1)C[C@H]([N@H+](C2)Cc3[nH]c(=O)c4ccc(cc4n3)Cl)C(=O)N
13.10074063875281,c1ccnc(c1)c2[nH]c(=O)cc(n2)[C@H]3CCC[N@@H+](C3)Cc4ccncc4
13.09719366665394,C[C@@H]1CCc2c(c([nH]n2)C(=O)NCCCc3ccco3)C1
13.094407356725773,Cn1c2c(cn1)c(=O)[nH]c(n2)C[N@H+]3CCCN(CC3)c4ccccc4
13.093584698389714,CCCCc1c[nH]n(c1=O)/C(=[NH+]/CCSCc2c([nH]cn2)C)/N
13.091091661101926,Cc1ccc(cn1)CCNC(=O)N2CCCC[C@@H]2c3c[nH]nc3
13.087628669624214,C[N@@H+](Cc1cc(=O)n2c([nH]1)ccn2)[C@@H]3CCCN(C3)c4ccccc4
13.083266953593377,COc1cccc(c1)[C@@H]2CN(C[C@H]2[NH3+])C(=O)c3ccc4c(c3)nn[nH]4
13.076114970432323,c1cc2c(cc[nH]2)c(c1)Oc3ccc(cn3)NC(=O)[C@@H]4CCCO4
13.07523119530914,Cc1cccc2c1nc([nH]2)[C@H]3CCCN(C3)C(=O)c4cnc([nH]c4=O)C
13.073618415631609,c1cc(ccc1/C=C/2\C(=O)N(C(=O)S2)CC(=O)Nc3ccc(c(c3)C(=O)[O-])O)F
13.071121421141775,COCCN1C[C@@H](CCC1=O)C(=O)Nc2ccc(nc2)Oc3ccccc3OC
13.069655057939874,Cc1ccnc(n1)[C@H]2C[N@@H+](CCO2)Cc3c(nc[nH]3)C
13.065693459004606,Cc1ccc(cc1NC(=O)C)c2ccc(=O)n(n2)[C@@H](C)C(=O)Nc3ccccc3F
13.065253769888594,C1/C(=[NH+]/NC2=[NH+]C(=O)[C@H](S2)CC(=O)NC(=O)N)/NC(=O)S1
13.054947457009272,CCOC(=O)c1c([nH]cn1)C(=O)NCc2cccc(c2)n3cccn3
